,MATCHUP,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WL
1490,BKN vs. HOU,123,44,82,0.537,17,35.0,0.486,18,27,0.667,8.0,33.0,41.0,33,4.0,9,12,18,9.0,W
1491,BKN @ ORL,106,37,91,0.407,8,35.0,0.229,24,28,0.857,15.0,29.0,44.0,17,7.0,8,15,20,-13.0,L
1492,BKN @ MIA,129,44,89,0.494,18,40.0,0.45,23,25,0.92,17.0,28.0,45.0,30,6.0,6,6,18,29.0,W
1493,BKN vs. CLE,114,39,81,0.481,12,34.0,0.353,24,27,0.889,9.0,33.0,42.0,24,7.0,7,15,21,-2.0,L
1494,BKN vs. CLE,109,41,92,0.446,9,33.0,0.273,18,23,0.783,19.0,30.0,49.0,25,6.0,5,16,19,-6.0,L
1495,BKN vs. DEN,102,38,82,0.463,12,35.0,0.343,14,16,0.875,9.0,24.0,33.0,26,10.0,3,11,16,-6.0,L
1496,BKN vs. SAC,96,33,80,0.413,14,39.0,0.359,16,23,0.696,3.0,38.0,41.0,20,8.0,4,6,22,-5.0,L
1497,BKN @ OKC,107,35,82,0.427,12,41.0,0.293,25,34,0.735,11.0,35.0,46.0,25,3.0,5,17,20,-14.0,L
1498,BKN @ DEN,122,42,84,0.5,17,44.0,0.386,21,24,0.875,4.0,24.0,28.0,32,11.0,2,8,21,2.0,W
1499,BKN @ MIN,124,42,91,0.462,16,34.0,0.471,24,33,0.727,12.0,36.0,48.0,20,7.0,5,14,26,1.0,W
1500,NYK vs. BKN,105,42,97,0.433,15,40.0,0.375,6,12,0.5,16.0,31.0,47.0,25,10.0,4,9,15,12.0,W
1501,NYK @ DEN,100,38,79,0.481,11,31.0,0.355,13,17,0.765,4.0,27.0,31.0,28,6.0,6,9,18,-13.0,L
1502,NYK @ GSW,119,44,91,0.484,14,37.0,0.378,17,20,0.85,14.0,30.0,44.0,29,6.0,1,10,17,7.0,W
1503,NYK @ SAC,98,37,86,0.43,11,39.0,0.282,13,16,0.813,10.0,42.0,52.0,19,8.0,9,14,21,7.0,W
1504,NYK @ POR,105,38,87,0.437,6,29.0,0.207,23,26,0.885,15.0,35.0,50.0,16,11.0,1,12,18,12.0,W
1505,NYK vs. PHI,106,40,79,0.506,14,40.0,0.35,12,15,0.8,9.0,42.0,51.0,32,4.0,4,12,15,27.0,W
1506,NYK vs. PHI,73,26,80,0.325,9,40.0,0.225,12,16,0.75,16.0,34.0,50.0,19,9.0,5,19,14,-6.0,L
1507,NYK vs. ORL,98,38,79,0.481,16,33.0,0.485,6,8,0.75,11.0,32.0,43.0,20,7.0,10,15,14,24.0,W
1508,NYK vs. ATL,100,38,99,0.384,16,52.0,0.308,8,11,0.727,17.0,23.0,40.0,27,8.0,6,11,18,-16.0,L
1509,NYK @ CLE,107,42,86,0.488,16,39.0,0.41,7,10,0.7,10.0,37.0,47.0,32,8.0,9,9,13,9.0,W
1510,NYK vs. GSW,99,35,95,0.368,12,39.0,0.308,17,24,0.708,17.0,39.0,56.0,23,7.0,3,12,15,-11.0,L
1511,NYK vs. NOP,92,31,83,0.373,14,46.0,0.304,16,23,0.696,13.0,25.0,38.0,27,6.0,5,11,20,-23.0,L
1512,NYK vs. DET,113,41,92,0.446,15,39.0,0.385,16,21,0.762,15.0,29.0,44.0,31,9.0,4,14,16,2.0,W
1513,NYK vs. BOS,102,37,82,0.451,13,38.0,0.342,15,16,0.938,15.0,24.0,39.0,21,1.0,3,13,15,-14.0,L
1514,NYK @ PHI,110,38,79,0.481,15,34.0,0.441,19,27,0.704,12.0,33.0,45.0,24,11.0,6,15,13,14.0,W
1515,NYK @ ORL,100,35,84,0.417,11,29.0,0.379,19,24,0.792,16.0,18.0,34.0,15,8.0,0,10,11,-18.0,L
1516,NYK @ HOU,103,42,92,0.457,12,36.0,0.333,7,12,0.583,19.0,32.0,51.0,19,4.0,4,16,23,-2.0,L
1517,NYK vs. IND,111,40,84,0.476,10,32.0,0.313,21,23,0.913,5.0,27.0,32.0,16,7.0,4,9,15,-14.0,L
1518,NYK vs. DAL,108,42,94,0.447,14,37.0,0.378,10,11,0.909,14.0,32.0,46.0,27,5.0,2,14,19,-14.0,L
1519,NYK vs. MEM,123,48,86,0.558,11,27.0,0.407,16,20,0.8,8.0,29.0,37.0,28,12.0,5,10,12,10.0,W
1520,NYK vs. LAL,105,41,100,0.41,10,35.0,0.286,13,15,0.867,18.0,33.0,51.0,21,1.0,4,7,20,-8.0,L
1521,NYK vs. IND,109,41,103,0.398,8,38.0,0.211,19,25,0.76,24.0,36.0,60.0,15,8.0,7,10,14,4.0,W
1522,NYK vs. UTA,118,44,94,0.468,13,34.0,0.382,17,18,0.944,14.0,31.0,45.0,29,9.0,7,5,16,15.0,W
1523,NYK @ CHA,113,44,84,0.524,12,37.0,0.324,13,16,0.813,7.0,35.0,42.0,25,5.0,3,9,16,21.0,W
1524,NYK vs. MIA,125,45,87,0.517,17,33.0,0.515,18,26,0.692,11.0,35.0,46.0,25,6.0,3,7,15,16.0,W
1525,NYK vs. DEN,122,45,85,0.529,15,38.0,0.395,17,20,0.85,12.0,32.0,44.0,26,12.0,3,8,14,38.0,W
1526,NYK @ BKN,108,40,86,0.465,10,29.0,0.345,18,19,0.947,11.0,31.0,42.0,21,8.0,8,13,13,5.0,W
1527,NYK vs. TOR,126,48,88,0.545,14,39.0,0.359,16,20,0.8,15.0,46.0,61.0,27,4.0,7,21,20,26.0,W
1528,NYK vs. WAS,113,39,86,0.453,13,38.0,0.342,22,26,0.846,7.0,40.0,47.0,22,6.0,5,17,18,4.0,W
1529,NYK vs. HOU,109,39,87,0.448,13,37.0,0.351,18,22,0.818,12.0,39.0,51.0,24,6.0,5,12,20,15.0,W
1530,NYK vs. ORL,94,33,83,0.398,13,40.0,0.325,15,22,0.682,13.0,28.0,41.0,20,3.0,3,9,20,-4.0,L
1531,NYK @ MEM,106,40,83,0.482,13,38.0,0.342,13,19,0.684,15.0,41.0,56.0,25,11.0,11,22,15,12.0,W
1532,NYK @ DAL,124,44,89,0.494,14,42.0,0.333,22,28,0.786,13.0,32.0,45.0,27,7.0,2,14,25,-4.0,L
1533,NYK vs. POR,112,37,89,0.416,18,48.0,0.375,20,23,0.87,15.0,40.0,55.0,26,11.0,4,14,16,28.0,W
1534,NYK @ WAS,121,43,87,0.494,14,36.0,0.389,21,24,0.875,11.0,34.0,45.0,27,9.0,2,14,16,16.0,W
1535,NYK @ PHI,128,43,89,0.483,18,41.0,0.439,24,25,0.96,10.0,39.0,49.0,27,7.0,7,11,22,36.0,W
1536,NYK vs. CHI,116,46,89,0.517,15,38.0,0.395,9,11,0.818,13.0,39.0,52.0,29,6.0,7,15,17,16.0,W
1537,NYK vs. MIN,112,39,89,0.438,12,34.0,0.353,22,28,0.786,16.0,33.0,49.0,23,7.0,4,13,24,6.0,W
1538,NYK @ IND,126,45,95,0.474,17,37.0,0.459,19,27,0.704,15.0,27.0,42.0,24,12.0,2,13,19,-14.0,L
1539,NYK @ ORL,108,38,86,0.442,6,30.0,0.2,26,29,0.897,6.0,34.0,40.0,22,8.0,4,16,30,-9.0,L
1540,NYK @ OKC,120,41,82,0.5,14,34.0,0.412,24,30,0.8,9.0,31.0,40.0,24,2.0,2,18,21,-9.0,L
1541,NYK vs. MIL,129,50,92,0.543,8,26.0,0.308,21,26,0.808,7.0,34.0,41.0,27,7.0,4,11,18,7.0,W
1542,NYK vs. MIL,111,41,93,0.441,9,29.0,0.31,20,21,0.952,11.0,30.0,41.0,17,5.0,2,11,22,-19.0,L
1543,NYK @ BKN,121,44,95,0.463,13,33.0,0.394,20,25,0.8,12.0,42.0,54.0,24,8.0,7,11,15,19.0,W
1544,NYK @ LAL,114,42,88,0.477,10,30.0,0.333,20,23,0.87,11.0,41.0,52.0,21,5.0,6,15,16,5.0,W
1545,NYK @ LAC,122,44,94,0.468,11,35.0,0.314,23,26,0.885,12.0,27.0,39.0,20,7.0,4,10,22,-22.0,L
1546,NYK @ PHX,139,49,82,0.598,17,29.0,0.586,24,28,0.857,9.0,29.0,38.0,28,9.0,5,11,20,17.0,W
1547,NYK @ UTA,113,41,94,0.436,9,39.0,0.231,22,32,0.688,14.0,32.0,46.0,21,10.0,4,8,21,-4.0,L
1548,NYK vs. TOR,136,52,86,0.605,17,29.0,0.586,15,23,0.652,14.0,28.0,42.0,36,5.0,3,15,22,6.0,W
1549,NYK @ BOS,123,44,88,0.5,15,37.0,0.405,20,27,0.741,12.0,32.0,44.0,28,4.0,3,13,20,-10.0,L
1550,NYK @ MIL,122,43,87,0.494,7,23.0,0.304,29,33,0.879,12.0,24.0,36.0,27,8.0,4,16,17,-24.0,L
1551,NYK @ TOR,119,45,90,0.5,16,36.0,0.444,13,16,0.813,11.0,32.0,43.0,30,6.0,3,12,15,13.0,W
1552,NYK vs. DET,118,41,88,0.466,16,41.0,0.39,20,28,0.714,12.0,29.0,41.0,25,8.0,3,11,17,6.0,W
1553,NYK vs. CHA,115,41,88,0.466,15,38.0,0.395,18,20,0.9,15.0,39.0,54.0,21,10.0,7,16,12,24.0,W
1554,NYK vs. PHX,113,39,86,0.453,12,29.0,0.414,23,32,0.719,13.0,25.0,38.0,18,7.0,5,6,19,-3.0,L
1555,NYK vs. MIA,100,39,81,0.481,10,29.0,0.345,12,18,0.667,6.0,40.0,46.0,21,7.0,2,18,14,2.0,W
1556,NYK @ MIN,100,32,92,0.348,9,38.0,0.237,27,34,0.794,17.0,33.0,50.0,16,8.0,3,10,23,-17.0,L
1557,NYK @ CHA,122,46,91,0.505,16,37.0,0.432,14,19,0.737,13.0,34.0,47.0,27,7.0,4,12,13,14.0,W
1558,NYK @ WAS,120,45,91,0.495,16,38.0,0.421,14,20,0.7,14.0,34.0,48.0,26,5.0,6,10,21,21.0,W
1559,NYK @ ATL,116,45,94,0.479,16,34.0,0.471,10,11,0.909,14.0,28.0,42.0,29,9.0,2,16,20,2.0,W
1560,NYK @ BOS,98,33,79,0.418,15,35.0,0.429,17,24,0.708,12.0,25.0,37.0,17,5.0,2,8,16,-16.0,L
1561,NYK vs. CHA,129,47,87,0.54,15,36.0,0.417,20,30,0.667,10.0,30.0,40.0,25,8.0,4,9,18,22.0,W
1562,NYK vs. SAS,126,46,100,0.46,19,42.0,0.452,15,22,0.682,13.0,34.0,47.0,28,7.0,0,3,14,21.0,W
1563,NYK vs. LAC,111,41,88,0.466,12,31.0,0.387,17,18,0.944,18.0,30.0,48.0,28,13.0,1,19,13,14.0,W
1564,NYK @ MIL,105,38,96,0.396,10,39.0,0.256,19,25,0.76,16.0,40.0,56.0,18,6.0,1,10,22,-5.0,L
1565,NYK vs. CLE,89,32,92,0.348,5,30.0,0.167,20,30,0.667,16.0,34.0,50.0,18,10.0,3,13,16,-6.0,L
1566,NYK @ CLE,109,38,86,0.442,13,34.0,0.382,20,25,0.8,12.0,36.0,48.0,18,9.0,1,14,17,18.0,W
1567,NYK @ NOP,87,33,90,0.367,7,37.0,0.189,14,18,0.778,16.0,43.0,59.0,19,7.0,3,18,17,-9.0,L
1568,NYK @ ATL,126,43,90,0.478,20,44.0,0.455,20,28,0.714,12.0,33.0,45.0,30,9.0,6,16,21,6.0,W
1569,NYK vs. BOS,104,36,97,0.371,18,41.0,0.439,14,26,0.538,17.0,30.0,47.0,24,9.0,0,9,22,-4.0,L
1570,NYK vs. WAS,106,40,92,0.435,14,39.0,0.359,12,21,0.571,14.0,33.0,47.0,20,5.0,0,15,17,-25.0,L
1571,NYK @ BOS,110,38,88,0.432,19,48.0,0.396,15,20,0.75,14.0,28.0,42.0,25,11.0,4,14,18,-13.0,L
1572,NYK vs. MIN,112,38,80,0.475,13,36.0,0.361,23,30,0.767,8.0,31.0,39.0,21,13.0,2,15,19,-10.0,L
1573,NYK vs. MIN,0,0,0,,0,0.0,,0,0,,1.0,0.0,1.0,1,0.0,0,0,0,1.0,
1574,NYK vs. BOS,114,38,84,0.452,13,42.0,0.31,25,33,0.758,9.0,30.0,39.0,24,7.0,7,13,17,7.0,W
1575,NYK vs. DEN,86,35,84,0.417,9,30.0,0.3,7,11,0.636,15.0,28.0,43.0,18,9.0,4,12,14,-13.2,L
1576,NYK vs. BOS,97,38,76,0.5,11,25.0,0.44,10,13,0.769,8.0,23.0,31.0,22,12.0,7,14,18,13.0,W
1577,NYK @ ORL,82,34,88,0.386,8,32.0,0.25,6,14,0.429,19.0,27.0,46.0,23,11.0,8,15,17,0.0,W
1578,NYK @ BKN,80,28,75,0.373,11,40.0,0.275,13,19,0.684,13.0,26.0,39.0,21,5.0,6,18,24,-11.0,L
1579,NYK @ PHI,101,37,81,0.457,3,20.0,0.15,24,32,0.75,13.0,29.0,42.0,18,6.0,8,19,28,-6.8,L
1580,NYK @ MIA,92,27,71,0.38,10,35.0,0.286,28,32,0.875,8.0,33.0,41.0,13,2.0,9,12,22,-4.0,L
1581,NYK vs. MIA,112,35,71,0.493,13,34.0,0.382,29,40,0.725,14.0,36.0,50.0,23,6.0,4,18,19,9.0,W
1582,NYK @ MIA,101,37,76,0.487,9,28.0,0.321,18,24,0.75,8.0,27.0,35.0,21,5.0,4,16,23,-8.0,L
1583,NYK @ MIA,86,31,91,0.341,8,40.0,0.2,16,22,0.727,14.0,34.0,48.0,15,4.0,3,13,22,-19.0,L
1584,NYK vs. MIA,111,37,82,0.451,16,40.0,0.4,21,30,0.7,11.0,39.0,50.0,23,4.0,2,10,20,6.0,W
1585,NYK vs. MIA,101,41,86,0.477,7,34.0,0.206,12,20,0.6,12.0,36.0,48.0,20,6.0,4,13,21,-7.0,L
1586,NYK @ CLE,106,37,85,0.435,9,29.0,0.31,23,29,0.793,17.0,31.0,48.0,21,6.0,5,10,17,11.0,W
1587,NYK vs. CLE,102,38,84,0.452,8,29.0,0.276,18,28,0.643,17.0,30.0,47.0,15,5.0,7,10,15,9.0,W
1588,NYK vs. CLE,99,39,83,0.47,10,33.0,0.303,11,18,0.611,11.0,34.0,45.0,21,14.0,5,14,17,20.0,W
1589,NYK @ CLE,90,29,79,0.367,7,29.0,0.241,25,30,0.833,13.0,23.0,36.0,16,14.0,5,17,18,-17.0,L
1590,NYK @ CLE,101,37,88,0.42,8,29.0,0.276,19,22,0.864,17.0,34.0,51.0,18,11.0,1,13,20,4.0,W
1591,NYK vs. IND,136,52,108,0.481,15,40.0,0.375,17,22,0.773,19.0,34.0,53.0,29,8.0,8,15,24,-5.0,L
1592,NYK @ NOP,105,38,88,0.432,14,43.0,0.326,15,20,0.75,7.0,30.0,37.0,19,5.0,2,9,17,-8.0,L
1593,NYK @ IND,138,52,100,0.52,18,46.0,0.391,16,25,0.64,20.0,32.0,52.0,34,13.0,8,14,21,9.0,W
1594,NYK vs. WAS,118,46,88,0.523,13,32.0,0.406,13,18,0.722,7.0,32.0,39.0,31,12.0,4,11,17,9.0,W
1595,NYK @ CLE,130,49,93,0.527,17,36.0,0.472,15,24,0.625,16.0,32.0,48.0,24,6.0,5,7,12,14.0,W
1596,NYK vs. MIA,101,38,76,0.5,13,31.0,0.419,12,23,0.522,9.0,38.0,47.0,22,8.0,3,15,14,9.0,W
1597,NYK vs. HOU,137,50,86,0.581,17,39.0,0.436,20,28,0.714,7.0,32.0,39.0,35,11.0,8,10,20,22.0,W
1598,NYK @ ORL,106,37,88,0.42,12,40.0,0.3,20,26,0.769,13.0,31.0,44.0,26,8.0,8,13,15,-5.0,L
1599,NYK @ MIA,120,42,82,0.512,16,40.0,0.4,20,25,0.8,9.0,33.0,42.0,29,7.0,5,16,25,-7.0,L
1600,ORL vs. NOP,121,47,86,0.547,14,36.0,0.389,13,19,0.684,10.0,30.0,40.0,33,12.0,4,14,16,15.0,W
1601,ORL vs. CHA,112,44,81,0.543,12,34.0,0.353,12,13,0.923,10.0,31.0,41.0,32,10.0,6,16,10,20.0,W
1602,ORL vs. TOR,111,43,85,0.506,11,36.0,0.306,14,20,0.7,10.0,29.0,39.0,22,7.0,4,13,16,15.0,W
1603,ORL @ TOR,113,40,80,0.5,14,31.0,0.452,19,22,0.864,6.0,33.0,39.0,25,7.0,4,14,15,10.0,W
1604,ORL vs. BKN,114,40,77,0.519,14,32.0,0.438,20,26,0.769,6.0,28.0,34.0,29,6.0,6,12,20,8.0,W
1605,ORL vs. IND,97,33,88,0.375,9,36.0,0.25,22,29,0.759,13.0,33.0,46.0,18,7.0,3,12,27,-14.0,L
1606,ORL @ NYK,74,27,79,0.342,6,26.0,0.231,14,20,0.7,12.0,25.0,37.0,12,7.0,10,13,12,-24.0,L
1607,ORL @ WAS,119,44,81,0.543,12,26.0,0.462,19,21,0.905,9.0,33.0,42.0,21,4.0,5,15,14,10.0,W
1608,ORL @ CHA,101,40,74,0.541,13,35.0,0.371,8,15,0.533,8.0,33.0,41.0,23,9.0,1,17,16,12.0,W
1609,ORL vs. DET,113,43,72,0.597,7,23.0,0.304,20,25,0.8,7.0,41.0,48.0,24,7.0,6,20,16,22.0,W
1610,ORL vs. UTA,115,42,77,0.545,10,30.0,0.333,21,31,0.677,10.0,35.0,45.0,27,9.0,6,15,20,8.0,W
1611,ORL vs. BKN,108,39,74,0.527,9,25.0,0.36,21,25,0.84,5.0,33.0,38.0,20,14.0,2,17,22,27.0,W
1612,ORL @ ATL,92,35,84,0.417,14,38.0,0.368,8,18,0.444,14.0,37.0,51.0,23,7.0,9,18,19,-17.0,L
1613,ORL @ DET,112,43,87,0.494,12,24.0,0.5,14,21,0.667,13.0,33.0,46.0,25,9.0,9,10,15,3.0,W
1614,ORL @ CLE,116,43,84,0.512,14,25.0,0.56,16,18,0.889,10.0,23.0,33.0,26,8.0,3,13,23,7.0,W
1615,ORL vs. NYK,118,48,76,0.632,12,26.0,0.462,10,11,0.909,7.0,27.0,34.0,25,7.0,7,12,22,18.0,W
1616,ORL vs. OKC,113,41,91,0.451,11,36.0,0.306,20,25,0.8,14.0,34.0,48.0,29,6.0,3,16,19,-14.0,L
1617,ORL vs. CHI,114,41,88,0.466,13,39.0,0.333,19,26,0.731,13.0,35.0,48.0,23,4.0,6,15,18,6.0,W
1618,ORL vs. SAS,127,49,82,0.598,16,27.0,0.593,13,20,0.65,8.0,31.0,39.0,34,11.0,5,16,20,16.0,W
1619,ORL @ MIA,95,35,80,0.438,10,35.0,0.286,15,21,0.714,8.0,31.0,39.0,25,7.0,3,18,17,-26.0,L
1620,ORL @ DET,111,45,84,0.536,10,24.0,0.417,11,15,0.733,7.0,30.0,37.0,22,7.0,3,10,18,12.0,W
1621,ORL @ MIN,108,39,85,0.459,9,25.0,0.36,21,26,0.808,10.0,32.0,42.0,24,11.0,4,13,17,2.0,W
1622,ORL @ SAS,108,41,86,0.477,7,20.0,0.35,19,23,0.826,12.0,33.0,45.0,29,10.0,5,15,20,10.0,W
1623,ORL @ DAL,129,45,88,0.511,18,38.0,0.474,21,28,0.75,12.0,23.0,35.0,27,7.0,1,11,33,-2.0,L
1624,ORL vs. PHX,113,41,92,0.446,12,36.0,0.333,19,26,0.731,11.0,29.0,40.0,30,12.0,7,7,21,15.0,W
1625,ORL @ MEM,106,38,81,0.469,9,34.0,0.265,21,29,0.724,9.0,31.0,40.0,21,8.0,4,11,14,-1.0,L
1626,ORL vs. CLE,99,34,74,0.459,11,29.0,0.379,20,30,0.667,8.0,26.0,34.0,25,7.0,0,15,17,-27.0,L
1627,ORL vs. MIA,105,37,78,0.474,9,28.0,0.321,22,28,0.786,12.0,32.0,44.0,21,5.0,5,14,16,18.0,W
1628,ORL vs. PHI,109,37,78,0.474,10,23.0,0.435,25,27,0.926,11.0,25.0,36.0,24,3.0,5,16,23,-15.0,L
1629,ORL @ ATL,104,39,88,0.443,10,35.0,0.286,16,22,0.727,16.0,24.0,40.0,18,16.0,8,13,22,-2.0,L
1630,ORL @ NYK,98,38,85,0.447,8,29.0,0.276,14,21,0.667,13.0,33.0,46.0,26,2.0,3,7,20,4.0,W
1631,ORL @ OKC,100,39,84,0.464,7,35.0,0.2,15,24,0.625,11.0,39.0,50.0,21,5.0,8,15,22,-12.0,L
1632,ORL @ MIA,96,36,82,0.439,12,40.0,0.3,12,20,0.6,10.0,28.0,38.0,26,10.0,8,11,20,-3.0,L
1633,ORL vs. MIN,92,34,94,0.362,13,42.0,0.31,11,18,0.611,16.0,30.0,46.0,20,13.0,5,12,22,-21.0,L
1634,ORL vs. ATL,117,43,98,0.439,17,41.0,0.415,14,22,0.636,13.0,44.0,57.0,25,8.0,3,11,24,7.0,W
1635,ORL @ DEN,122,41,82,0.5,17,36.0,0.472,23,34,0.676,11.0,29.0,40.0,25,9.0,3,14,20,2.0,W
1636,ORL @ SAC,135,44,90,0.489,25,44.0,0.568,22,27,0.815,7.0,32.0,39.0,33,10.0,7,20,30,-3.0,L
1637,ORL @ GSW,115,41,92,0.446,14,36.0,0.389,19,23,0.826,16.0,25.0,41.0,19,8.0,4,17,24,-6.0,L
1638,ORL @ PHX,107,42,90,0.467,12,37.0,0.324,11,12,0.917,8.0,37.0,45.0,22,2.0,4,15,18,-5.0,L
1639,ORL vs. NYK,117,40,89,0.449,7,33.0,0.212,30,40,0.75,14.0,35.0,49.0,24,10.0,6,15,20,9.0,W
1640,ORL vs. PHI,92,31,79,0.392,9,33.0,0.273,21,24,0.875,9.0,34.0,43.0,17,5.0,11,16,18,-20.0,L
1641,ORL @ WAS,127,49,93,0.527,12,26.0,0.462,17,25,0.68,7.0,33.0,40.0,30,11.0,5,16,16,8.0,W
1642,ORL @ IND,117,39,73,0.534,6,18.0,0.333,33,41,0.805,10.0,29.0,39.0,22,9.0,5,13,18,7.0,W
1643,ORL @ MIL,114,45,99,0.455,8,33.0,0.242,16,23,0.696,13.0,32.0,45.0,26,6.0,9,7,23,-4.0,L
1644,ORL vs. MIA,106,41,89,0.461,9,36.0,0.25,15,19,0.789,15.0,34.0,49.0,29,8.0,5,11,24,-9.0,L
1645,ORL @ BOS,97,34,89,0.382,11,36.0,0.306,18,24,0.75,10.0,33.0,43.0,18,7.0,4,8,16,-17.0,L
1646,ORL @ BOS,111,42,87,0.483,14,35.0,0.4,13,18,0.722,13.0,32.0,45.0,25,5.0,2,21,22,-17.0,L
1647,ORL vs. CLE,104,39,84,0.464,7,26.0,0.269,19,25,0.76,12.0,31.0,43.0,22,7.0,8,12,22,10.0,W
1648,ORL vs. DET,123,49,89,0.551,10,26.0,0.385,15,19,0.789,6.0,39.0,45.0,26,5.0,4,9,20,32.0,W
1649,ORL @ CLE,111,41,84,0.488,2,23.0,0.087,27,37,0.73,7.0,29.0,36.0,22,10.0,6,11,21,-10.0,L
1650,ORL @ BKN,101,35,88,0.398,9,29.0,0.31,22,27,0.815,8.0,29.0,37.0,24,3.0,5,11,27,-28.0,L
1651,ORL vs. WAS,130,46,89,0.517,12,31.0,0.387,26,33,0.788,10.0,34.0,44.0,35,6.0,8,14,23,5.0,W
1652,ORL vs. WAS,139,51,84,0.607,17,27.0,0.63,20,24,0.833,9.0,35.0,44.0,34,5.0,6,18,22,19.0,W
1653,ORL vs. CHA,130,47,87,0.54,10,27.0,0.37,26,33,0.788,7.0,37.0,44.0,33,10.0,3,14,26,13.0,W
1654,ORL vs. BOS,113,43,85,0.506,11,28.0,0.393,16,22,0.727,13.0,35.0,48.0,23,5.0,3,18,28,17.0,W
1655,ORL vs. DEN,124,44,81,0.543,10,29.0,0.345,26,30,0.867,11.0,30.0,41.0,27,9.0,7,12,21,5.0,W
1656,ORL vs. TOR,126,50,100,0.5,12,31.0,0.387,14,20,0.7,15.0,25.0,40.0,31,12.0,8,12,19,19.0,W
1657,ORL @ IND,128,43,87,0.494,7,20.0,0.35,35,42,0.833,8.0,34.0,42.0,21,10.0,10,15,23,12.0,W
1658,ORL @ CHI,103,38,79,0.481,11,34.0,0.324,16,23,0.696,10.0,36.0,46.0,24,7.0,7,17,22,6.0,W
1659,ORL @ CHI,96,32,82,0.39,8,28.0,0.286,24,30,0.8,12.0,34.0,46.0,20,12.0,3,13,21,2.0,W
1660,ORL @ BKN,104,36,82,0.439,16,46.0,0.348,16,21,0.762,9.0,28.0,37.0,23,9.0,4,14,16,-20.0,L
1661,ORL vs. MIL,112,36,84,0.429,10,26.0,0.385,30,35,0.857,15.0,28.0,43.0,24,9.0,2,13,17,15.0,W
1662,ORL vs. ATL,119,42,90,0.467,10,27.0,0.37,25,35,0.714,18.0,29.0,47.0,19,12.0,6,19,24,-1.0,L
1663,ORL vs. DAL,102,40,85,0.471,8,27.0,0.296,14,18,0.778,6.0,32.0,38.0,27,6.0,4,20,24,-15.0,L
1664,ORL vs. LAL,120,46,101,0.455,12,33.0,0.364,16,19,0.842,19.0,32.0,51.0,29,6.0,9,15,18,19.0,W
1665,ORL @ UTA,115,39,85,0.459,10,29.0,0.345,27,36,0.75,10.0,33.0,43.0,27,17.0,9,17,25,2.0,W
1666,ORL @ LAC,102,38,81,0.469,7,30.0,0.233,19,33,0.576,7.0,33.0,40.0,23,9.0,3,16,24,-16.0,L
1667,ORL @ LAL,103,38,95,0.4,14,35.0,0.4,13,18,0.722,12.0,32.0,44.0,28,10.0,3,11,22,-3.0,L
1668,ORL @ POR,102,36,79,0.456,9,28.0,0.321,21,32,0.656,10.0,35.0,45.0,22,10.0,5,14,16,5.0,W
1669,ORL vs. HOU,116,42,87,0.483,9,34.0,0.265,23,26,0.885,17.0,40.0,57.0,19,8.0,6,14,20,30.0,W
1670,ORL vs. FLA,109,36,73,0.493,13,33.0,0.394,24,30,0.8,9.0,30.0,39.0,24,16.0,4,15,15,33.0,W
1671,ORL vs. NOP,92,35,84,0.417,13,47.0,0.277,9,15,0.6,10.0,29.0,39.0,27,11.0,10,19,15,-12.0,L
1672,ORL @ CLE,108,37,84,0.44,12,35.0,0.343,22,27,0.815,5.0,34.0,39.0,27,14.0,6,14,21,3.0,W
1673,ORL @ NOP,122,44,101,0.436,15,45.0,0.333,19,26,0.731,13.0,40.0,53.0,29,8.0,10,11,26,17.0,W
1674,ORL vs. BOS,77,31,83,0.373,11,40.0,0.275,4,4,1.0,12.0,29.0,41.0,17,6.0,3,15,13,-17.0,L
1675,ORL vs. POR,71,26,85,0.306,6,35.0,0.171,13,18,0.722,14.0,25.0,39.0,16,14.0,10,13,16,-20.2,L
1676,ORL vs. NYK,80,29,72,0.403,10,28.0,0.357,12,16,0.75,10.0,36.0,46.0,12,8.0,9,21,14,0.0,L
1677,ORL vs. IND,85,30,74,0.405,6,32.0,0.188,19,30,0.633,10.0,26.0,36.0,20,11.0,7,15,21,-23.0,L
1678,ORL vs. DET,78,28,70,0.4,11,32.0,0.344,11,15,0.733,6.0,23.0,29.0,17,12.0,2,19,19,-11.2,L
1679,ORL @ MIA,110,38,90,0.422,17,47.0,0.362,17,24,0.708,13.0,30.0,43.0,29,13.0,1,14,17,-13.0,L
1680,ORL @ BKN,84,31,87,0.356,7,38.0,0.184,15,17,0.882,15.0,42.0,57.0,17,6.0,6,21,19,-17.0,L
1681,ORL vs. CLE,94,33,83,0.398,13,39.0,0.333,15,19,0.789,9.0,30.0,39.0,21,8.0,8,21,11,-24.0,L
1682,ORL vs. CLE,113,45,89,0.506,10,23.0,0.435,13,17,0.765,13.0,34.0,47.0,25,6.0,1,13,22,-4.0,L
1683,ORL vs. DET,128,43,75,0.573,17,33.0,0.515,25,40,0.625,7.0,34.0,41.0,30,11.0,6,14,26,26.0,W
1684,ORL @ WAS,116,44,88,0.5,8,24.0,0.333,20,26,0.769,6.0,42.0,48.0,26,2.0,14,10,16,7.0,W
1685,ORL @ MEM,108,41,100,0.41,14,49.0,0.286,12,15,0.8,8.0,39.0,47.0,24,9.0,8,16,15,-5.0,L
