,MATCHUP,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WL
455,CHI vs. MIA,100,37,81,0.457,11,37.0,0.297,15,16,0.938,7.0,29.0,36.0,21,2.0,7,11,16,-18.0,L
456,CHI vs. MIA,102,36,81,0.444,16,45.0,0.356,14,19,0.737,10.0,34.0,44.0,24,9.0,6,12,22,5.0,W
457,CHI vs. ORL,97,35,79,0.443,10,29.0,0.345,17,22,0.773,5.0,29.0,34.0,19,10.0,3,16,21,-6.0,L
458,CHI vs. ORL,94,33,83,0.398,9,33.0,0.273,19,22,0.864,14.0,39.0,53.0,16,7.0,4,19,25,-2.0,L
459,CHI @ MIL,109,38,100,0.38,14,42.0,0.333,19,21,0.905,18.0,29.0,47.0,24,9.0,7,6,25,-9.0,L
460,CHI vs. DET,119,44,91,0.484,11,30.0,0.367,20,25,0.8,11.0,29.0,40.0,22,12.0,6,6,21,11.0,W
461,CHI vs. PHX,115,42,96,0.438,14,33.0,0.424,17,23,0.739,9.0,30.0,39.0,30,12.0,7,14,22,-1.0,L
462,CHI vs. UTA,130,48,93,0.516,18,34.0,0.529,16,19,0.842,10.0,26.0,36.0,26,12.0,3,8,18,17.0,W
463,CHI @ DEN,101,39,86,0.453,7,26.0,0.269,16,23,0.696,9.0,28.0,37.0,28,7.0,3,11,19,-22.0,L
464,CHI vs. BKN,107,43,89,0.483,11,28.0,0.393,10,14,0.714,9.0,33.0,42.0,21,4.0,4,10,13,-2.0,L
465,CHI @ DAL,105,42,89,0.472,11,33.0,0.333,10,11,0.909,12.0,31.0,43.0,19,10.0,3,13,23,-9.0,L
466,CHI @ IND,112,40,87,0.46,6,17.0,0.353,26,31,0.839,10.0,34.0,44.0,19,8.0,6,13,17,7.0,W
467,CHI @ DET,102,39,93,0.419,11,28.0,0.393,13,16,0.813,13.0,20.0,33.0,16,10.0,5,8,20,-16.0,L
468,CHI vs. TOR,104,37,99,0.374,8,39.0,0.205,22,28,0.786,15.0,37.0,52.0,18,10.0,5,16,22,1.0,W
469,CHI vs. OKC,104,39,94,0.415,12,42.0,0.286,14,18,0.778,13.0,29.0,42.0,26,10.0,3,12,16,-20.0,L
470,CHI vs. MIN,105,35,81,0.432,11,36.0,0.306,24,27,0.889,7.0,27.0,34.0,25,11.0,4,14,20,-9.0,L
471,CHI vs. TOR,102,42,95,0.442,9,26.0,0.346,9,11,0.818,14.0,29.0,43.0,26,9.0,7,22,26,-4.0,L
472,CHI @ DEN,102,39,88,0.443,12,29.0,0.414,12,21,0.571,15.0,28.0,43.0,21,4.0,2,9,27,-14.0,L
473,CHI vs. DEN,133,51,112,0.455,14,38.0,0.368,17,18,0.944,26.0,30.0,56.0,34,16.0,1,21,16,9.0,W
474,CHI @ MIL,102,39,99,0.394,13,35.0,0.371,11,12,0.917,15.0,32.0,47.0,24,11.0,4,15,18,-3.0,L
475,CHI vs. WAS,90,33,67,0.493,12,34.0,0.353,12,20,0.6,8.0,34.0,42.0,19,7.0,7,20,29,4.0,W
476,CHI vs. CLE,83,27,79,0.342,7,35.0,0.2,22,30,0.733,18.0,22.0,40.0,12,9.0,7,11,22,-6.4,L
477,CHI @ SAC,107,37,70,0.529,16,30.0,0.533,17,24,0.708,14.0,20.0,34.0,25,6.0,5,13,17,8.0,W
478,CHI vs. MEM,80,30,75,0.4,10,30.0,0.333,10,16,0.625,13.0,29.0,42.0,18,4.0,6,19,22,-5.8,L
479,CHI @ TOR,83,32,82,0.39,10,29.0,0.345,9,14,0.643,17.0,34.0,51.0,22,10.0,7,16,21,9.4,W
480,CHI @ MIA,91,36,82,0.439,8,28.0,0.286,11,15,0.733,5.0,32.0,37.0,24,5.0,3,11,25,-11.0,L
481,CHI @ TOR,109,42,86,0.488,7,26.0,0.269,18,22,0.818,8.0,28.0,36.0,20,9.0,10,10,22,4.0,W
482,CHI vs. DET,103,40,95,0.421,6,30.0,0.2,17,22,0.773,11.0,37.0,48.0,21,15.0,7,3,16,22.0,W
483,CHI @ DAL,115,46,88,0.523,11,31.0,0.355,12,18,0.667,8.0,42.0,50.0,24,6.0,4,12,15,3.0,W
484,CHI @ MIL,92,36,83,0.434,11,33.0,0.333,9,11,0.818,5.0,33.0,38.0,28,10.0,3,15,11,-13.0,L
485,CHI vs. ATL,105,41,89,0.461,7,31.0,0.226,16,20,0.8,6.0,26.0,32.0,16,8.0,6,8,18,-18.0,L
